file_html,test_me_inf,instance,R1,R2,over,complex
https://github.com/sympy/sympy/tree/master/sympy/polys/monomials.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_monomials.py', 'sympy.polys.tests.test_monomials', '', 'test_monomials')",4,,1,,
https://github.com/sympy/sympy/tree/master/sympy/polys/monomials.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_monomials.py', 'sympy.polys.tests.test_monomials', '', 'test_monomials')",5,1,,,
https://github.com/sympy/sympy/tree/master/sympy/polys/monomials.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_monomials.py', 'sympy.polys.tests.test_monomials', '', 'test_monomials')",6,1,,,
https://github.com/sympy/sympy/tree/master/sympy/polys/monomials.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_monomials.py', 'sympy.polys.tests.test_monomials', '', 'test_monomials')",7,1,,,
https://github.com/sympy/sympy/tree/master/sympy/polys/monomials.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_monomials.py', 'sympy.polys.tests.test_monomials', '', 'test_monomials')",0,1,,,
https://github.com/sympy/sympy/tree/master/sympy/polys/monomials.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_monomials.py', 'sympy.polys.tests.test_monomials', '', 'test_monomials')",1,,1,,
https://github.com/sympy/sympy/tree/master/sympy/polys/monomials.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_monomials.py', 'sympy.polys.tests.test_monomials', '', 'test_monomials')",2,1,,,
https://github.com/sympy/sympy/tree/master/sympy/polys/densebasic.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_densebasic.py', 'sympy.polys.tests.test_densebasic', '', 'test_dmp_terms_gcd')",0,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/densebasic.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_densebasic.py', 'sympy.polys.tests.test_densebasic', '', 'test_dmp_terms_gcd')",1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/densebasic.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_densebasic.py', 'sympy.polys.tests.test_densebasic', '', 'test_dmp_terms_gcd')",2,,,,1
https://github.com/sympy/sympy/tree/master/sympy/physics/vector/vector.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/vector/tests/test_vector.py', 'sympy.physics.vector.tests.test_vector', '', 'test_Vector')",2,,,,1
https://github.com/sympy/sympy/tree/master/sympy/physics/vector/vector.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/vector/tests/test_vector.py', 'sympy.physics.vector.tests.test_vector', '', 'test_Vector')",1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/physics/vector/vector.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/vector/tests/test_vector.py', 'sympy.physics.vector.tests.test_vector', '', 'test_Vector')",0,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/units/util.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/units/tests/test_util.py', 'sympy.physics.units.tests.test_util', '', 'test_check_dimensions')",2,,,,1
https://github.com/sympy/sympy/tree/master/sympy/physics/units/util.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/units/tests/test_util.py', 'sympy.physics.units.tests.test_util', '', 'test_check_dimensions')",0,,,,1
https://github.com/sympy/sympy/tree/master/sympy/physics/units/util.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/units/tests/test_util.py', 'sympy.physics.units.tests.test_util', '', 'test_check_dimensions')",1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/physics/units/util.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/units/tests/test_util.py', 'sympy.physics.units.tests.test_util', '', 'test_check_dimensions')",3,,,,1
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",13,,,,1
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",14,1,,,
